UserID,Birthday,ZodiacSign,Gender,FavoriteProduct,FavoriteCategory,SecondFavoriteProduct,StreamingServices,Gambling,FavoriteStore,Travel
1,1956-05-30,Gemini,Female,A,X,F,Yes,Yes,C4,Yes
2,1996-08-24,Virgo,Other,D,Z,E,Yes,No,C4,No
3,1999-03-13,Pisces,Female,D,Y,F,No,No,B2,Yes
4,1995-04-08,Aries,Male,C,Z,F,Yes,No,C2,No
5,1988-07-22,Cancer,Female,D,Z,E,Yes,No,C4,No
6,1957-06-17,Gemini,Male,D,Z,G,No,No,B1,No
7,1998-09-14,Virgo,Other,D,W,E,Yes,No,C4,No
8,1990-02-09,Aquarius,Female,C,X,H,Yes,No,C4,Yes
9,1966-12-26,Capricorn,Male,B,X,E,Yes,No,B1,Yes
10,1998-10-25,Scorpio,Male,C,Y,G,Yes,Yes,B2,Yes
11,1994-09-14,Virgo,Female,A,W,E,Yes,No,C4,No
12,1964-04-19,Aries,Other,D,Z,H,No,Yes,C2,Yes
13,1987-10-16,Libra,Male,D,W,G,No,No,B2,Yes
14,2001-02-24,Pisces,Female,B,W,E,Yes,No,D3,Yes
15,2004-08-15,Leo,Male,B,W,E,No,No,D3,No
16,1985-11-13,Scorpio,Female,B,X,G,No,No,C4,Yes
17,1979-03-04,Pisces,Other,C,X,H,No,No,A1,No
18,1984-12-18,Sagittarius,Female,D,Y,G,No,No,A1,Yes
19,1991-03-28,Aries,Female,D,W,H,No,No,D3,No
20,1950-01-05,Capricorn,Other,B,Y,E,Yes,No,B1,No
21,1966-02-28,Pisces,Male,C,Z,H,Yes,Yes,B1,No
22,1961-04-08,Aries,Female,D,X,E,Yes,Yes,C4,No
23,1971-08-12,Leo,Female,B,X,E,No,No,B1,No
24,1948-09-15,Virgo,Other,A,Y,F,No,No,D3,No
25,1955-09-28,Libra,Female,D,X,G,Yes,No,B1,Yes
26,1984-09-24,Libra,Male,B,W,H,Yes,No,C2,Yes
27,1976-06-07,Gemini,Female,A,Y,F,Yes,No,B1,Yes
28,2000-03-26,Aries,Other,C,X,E,Yes,No,D3,Yes
29,1982-11-13,Scorpio,Female,D,X,F,No,Yes,B2,No
30,1986-11-23,Sagittarius,Female,B,W,H,No,Yes,A1,Yes
31,1978-05-04,Taurus,Female,B,Y,F,No,No,C4,No
32,1963-04-05,Aries,Male,D,Z,F,Yes,No,A1,No
33,1989-01-14,Capricorn,Male,B,Z,G,No,No,C4,Yes
34,1957-08-28,Virgo,Male,B,W,F,Yes,Yes,C2,No
35,1954-05-07,Taurus,Other,B,Z,E,Yes,No,C4,Yes
36,1948-12-15,Sagittarius,Male,D,Y,E,Yes,Yes,C4,No
37,2005-07-01,Cancer,Other,A,Y,F,No,Yes,B2,No
38,1957-02-05,Aquarius,Female,A,Y,H,Yes,Yes,A1,Yes
39,1947-08-12,Leo,Male,D,Y,F,No,Yes,C4,Yes
40,1961-12-20,Sagittarius,Female,D,W,H,Yes,No,D3,Yes
41,1982-01-04,Capricorn,Female,C,X,F,No,No,C2,No
42,1977-02-03,Aquarius,Other,A,X,G,Yes,No,C4,Yes
43,1967-06-22,Cancer,Female,A,W,H,No,Yes,C4,No
44,1994-02-09,Aquarius,Other,D,Y,E,Yes,No,C2,Yes
45,1981-06-12,Gemini,Female,C,Y,H,No,No,C2,Yes
46,1995-03-31,Aries,Female,C,X,H,Yes,Yes,C4,Yes
47,1959-01-21,Aquarius,Other,A,Z,H,No,Yes,C2,Yes
48,1997-05-20,Taurus,Female,D,W,F,No,Yes,A1,Yes
49,1958-06-21,Cancer,Male,B,W,H,Yes,Yes,C4,Yes
50,1947-04-06,Aries,Other,D,X,H,No,Yes,B2,No
51,1967-10-23,Scorpio,Other,B,Y,E,Yes,Yes,C2,Yes
52,1972-04-19,Aries,Other,B,Y,H,No,Yes,D3,No
53,2001-02-01,Aquarius,Female,D,Z,H,No,Yes,C4,No
54,1953-06-06,Gemini,Other,D,Z,F,Yes,Yes,C2,No
55,1994-08-29,Virgo,Female,C,Y,E,Yes,Yes,A1,Yes
56,2006-06-13,Gemini,Female,A,Z,G,Yes,Yes,A1,No
57,1954-07-15,Cancer,Male,D,Z,F,No,No,B2,Yes
58,1996-04-03,Aries,Female,B,Y,F,Yes,No,A1,Yes
59,1975-07-10,Cancer,Female,A,Z,E,Yes,Yes,B1,No
60,1946-06-21,Cancer,Other,C,Y,G,Yes,Yes,A1,No
61,2004-11-30,Sagittarius,Male,C,X,F,No,No,A1,No
62,1950-11-08,Scorpio,Female,D,X,E,No,Yes,D3,No
63,1973-01-10,Capricorn,Female,B,X,E,No,No,C4,Yes
64,1946-02-06,Aquarius,Other,C,Y,F,Yes,Yes,C4,No
65,1960-09-09,Virgo,Other,A,Z,E,No,No,C2,Yes
66,1953-12-12,Sagittarius,Male,B,X,F,Yes,Yes,D3,Yes
67,1960-02-06,Aquarius,Other,D,Y,G,Yes,No,C2,Yes
68,1974-06-05,Gemini,Male,B,Y,G,No,No,A1,No
69,1951-10-19,Libra,Other,B,Z,E,No,No,D3,Yes
70,1989-12-25,Capricorn,Male,C,Y,E,Yes,Yes,A1,No
71,1984-03-04,Pisces,Female,C,W,E,Yes,Yes,C4,Yes
72,1957-10-12,Libra,Male,A,Y,E,No,No,C2,Yes
73,1989-07-29,Leo,Female,C,X,G,Yes,No,D3,Yes
74,1976-10-01,Libra,Male,D,Z,F,No,Yes,A1,Yes
75,1988-02-27,Pisces,Other,A,W,E,No,Yes,B2,Yes
76,1946-05-20,Taurus,Other,A,Z,E,Yes,No,C2,No
77,1996-03-27,Aries,Male,A,Y,E,No,Yes,B2,Yes
78,1997-06-16,Gemini,Female,A,W,E,Yes,Yes,A1,Yes
79,1990-01-31,Aquarius,Male,B,Y,G,Yes,No,A1,Yes
80,1957-04-18,Aries,Male,D,Z,G,Yes,No,C2,No
81,1976-05-09,Taurus,Male,C,W,E,Yes,No,B1,Yes
82,1962-06-07,Gemini,Other,D,Z,G,Yes,No,A1,No
83,1984-12-15,Sagittarius,Other,D,Z,G,No,Yes,B2,No
84,1990-10-18,Libra,Male,C,Y,H,Yes,Yes,B2,Yes
85,1984-03-11,Pisces,Other,B,Y,G,Yes,No,C4,No
86,1965-03-21,Aries,Female,C,W,F,Yes,Yes,B1,Yes
87,1999-07-02,Cancer,Other,A,X,H,No,No,B1,Yes
88,1989-07-18,Cancer,Male,C,Y,G,Yes,Yes,B2,Yes
89,1995-04-11,Aries,Other,C,Y,G,Yes,Yes,D3,No
90,1955-05-22,Gemini,Female,C,W,G,Yes,No,B2,No
91,1949-01-17,Capricorn,Female,A,X,E,Yes,Yes,C4,Yes
92,1953-12-08,Sagittarius,Female,C,X,G,Yes,Yes,B2,No
93,1966-07-21,Cancer,Other,C,Z,G,Yes,Yes,B2,No
94,1978-06-27,Cancer,Other,B,Z,E,No,Yes,B1,No
95,1972-02-23,Pisces,Other,C,X,G,Yes,No,B1,No
96,1981-06-29,Cancer,Other,A,Z,E,No,Yes,C4,No
97,1945-02-12,Aquarius,Female,D,W,E,No,Yes,B2,Yes
98,1971-06-15,Gemini,Female,B,W,E,No,Yes,A1,No
99,1976-03-19,Pisces,Male,A,Z,E,Yes,Yes,D3,Yes
100,1972-12-13,Sagittarius,Female,C,X,F,No,No,A1,No
